episode_counter,sim_step,sim_time,dt,dt_real_time,valid_actions,total_reward,machines_working,machines_changeover,machines_broken,machines_idle,processed_orders,transp_working,transp_walking,transp_handling,transp_idle,machines_total,selected_idle,forced_idle,threshold_waiting,finished_orders,order_waiting_time,alpha,inventory
547,100,115172.94177,441.74805,0.4647,92,85.7212,0.81558,0.0,0.17732,0.00709,42.0,0.64365,0.33579,0.30787,0.35634,1.0,0,0,0,44,374.84885,0.05292,49.00469
548,100,115597.42859,424.48682,0.35905,98,77.60462,0.83252,0.0,0.04248,0.125,48.0,0.71694,0.373,0.34394,0.28306,1.0,0,0,0,48,350.20613,0.90884,50.99673
549,100,115988.69092,391.26233,0.37228,93,73.60478,0.83428,0.0,0.04072,0.125,46.0,0.74332,0.3855,0.35782,0.25668,1.0,0,0,0,47,351.715,0.97731,50.00058
550,100,116465.63457,476.94364,0.52721,95,75.14708,0.77132,0.0,0.10368,0.125,48.0,0.61747,0.31974,0.29773,0.38253,1.0,0,0,0,47,371.64008,0.90733,50.99836
551,100,116949.37621,483.74164,0.44869,94,74.08446,0.77653,0.0,0.09847,0.125,48.0,0.60363,0.31008,0.29355,0.39637,1.0,0,0,0,48,408.43589,1.10638,49.00659
552,100,117286.1295,336.75329,0.46421,97,76.77158,0.875,0.0,0.0,0.125,54.0,0.9067,0.47018,0.43652,0.0933,1.0,0,0,0,50,325.4804,1.02537,46.01032
553,100,117669.96826,383.83876,0.39187,96,72.45984,0.75799,0.0,0.0927,0.14931,41.0,0.78245,0.4125,0.36995,0.21755,1.0,0,0,0,46,299.83757,1.12154,49.9945
554,100,118104.19129,434.22303,0.49982,92,72.6214,0.74354,0.0,0.13146,0.125,47.0,0.66939,0.34928,0.32011,0.33061,1.0,0,0,0,47,332.33972,1.01174,48.00834
555,100,118543.6849,439.49361,0.41022,97,76.401,0.60346,0.0,0.27358,0.12297,48.0,0.70194,0.36974,0.3322,0.29806,1.0,0,0,1,48,324.54765,1.47028,49.99984
556,100,119234.63975,690.95485,0.45322,93,76.04845,0.63819,0.0,0.26046,0.10135,52.0,0.46168,0.2388,0.22288,0.53832,1.0,0,0,9,52,550.33155,1.35861,48.01611
557,100,119639.87845,405.23871,0.3276,97,88.5731,0.74087,0.0,0.23384,0.02529,48.0,0.75717,0.39689,0.36028,0.24283,1.0,0,0,1,48,433.92974,0.29682,50.00146
558,100,120157.91705,518.03859,0.48177,89,69.26199,0.60328,0.0,0.26639,0.13034,47.0,0.55916,0.29277,0.26639,0.44084,1.0,0,0,3,46,442.03343,1.66344,50.0014
559,100,120558.30459,400.38754,0.30199,94,74.33231,0.7931,0.0,0.0819,0.125,48.0,0.73304,0.38088,0.35216,0.26696,1.0,0,0,0,47,420.47467,1.33869,50.00117
560,100,121003.62224,445.31766,0.44418,97,79.77037,0.77029,0.0,0.14293,0.08678,52.0,0.68154,0.35368,0.32786,0.31846,1.0,0,0,0,49,323.47108,0.67065,49.0058
561,100,121397.09708,393.47484,0.41503,99,87.7518,0.77695,0.0,0.16587,0.05718,45.0,0.78277,0.40663,0.37614,0.21723,1.0,0,0,0,49,345.32064,0.52944,50.00073
562,100,121892.74776,495.65067,0.47756,94,74.67012,0.70958,0.0,0.19659,0.11819,46.0,0.59047,0.306,0.28447,0.40953,1.02436,0,0,0,47,335.73888,0.96721,50.00259
563,100,122316.53814,423.79039,0.43037,94,79.05468,0.74154,0.0,0.14753,0.08243,49.0,0.69767,0.35788,0.33979,0.30233,0.97151,0,0,2,48,449.54276,0.94376,50.00146
564,100,122692.55999,376.02185,0.42709,97,85.15175,0.8013,0.0,0.14783,0.05087,52.0,0.80802,0.41443,0.39359,0.19198,1.0,0,0,0,51,374.02957,0.48404,45.01578
565,100,123081.86144,389.30145,0.47339,92,75.17736,0.76106,0.0,0.14234,0.0966,43.0,0.73465,0.38531,0.34934,0.26535,1.0,0,0,0,44,298.45204,0.70738,49.00342
566,100,123511.79878,429.93734,0.48007,96,84.68014,0.76815,0.0,0.17667,0.05518,47.0,0.69312,0.36052,0.33261,0.30688,1.0,0,0,0,47,323.07539,0.41052,50.99684
567,100,123905.58416,393.78538,0.46416,96,81.89832,0.79819,0.0,0.1257,0.0761,52.0,0.75972,0.3915,0.36822,0.24028,1.0,0,0,0,49,388.11536,0.73676,49.00442
568,100,124322.13694,416.55279,0.47771,97,76.65525,0.77186,0.0,0.10314,0.125,48.0,0.7306,0.3801,0.3505,0.2694,1.0,0,0,0,49,274.78627,0.87107,48.00796
569,100,124871.34831,549.21137,0.36867,98,84.81337,0.71099,0.0,0.21944,0.06956,48.0,0.56202,0.29436,0.26766,0.43798,1.0,0,0,1,48,458.52072,0.70156,50.99758
570,100,125353.52443,482.17612,0.39889,99,89.46483,0.75935,0.0,0.21749,0.02316,50.0,0.66089,0.34566,0.31524,0.33911,1.0,0,0,1,52,441.15159,0.2314,47.01283
571,100,125795.75809,442.23365,0.41954,96,75.91806,0.7586,0.0,0.1164,0.125,46.0,0.67536,0.35426,0.3211,0.32464,1.0,0,0,0,46,352.69447,1.0394,50.99741
572,100,126161.58637,365.82828,0.33603,92,75.51141,0.73212,0.0,0.17324,0.09464,46.0,0.78042,0.40319,0.37723,0.21958,1.0,0,0,0,46,361.50078,1.00806,50.99692
573,100,126645.56778,483.98142,0.36138,97,89.85902,0.63995,0.0,0.3551,0.00495,49.0,0.62399,0.32026,0.30373,0.37601,1.0,0,0,0,50,377.85101,0.06165,48.00731
574,100,127312.06452,666.49674,0.41008,98,78.65548,0.5911,0.0,0.29376,0.11514,48.0,0.45537,0.23631,0.21906,0.54463,1.0,0,0,0,48,372.63321,1.15802,50.00337
575,100,127665.37333,353.30881,0.30514,93,83.20402,0.7969,0.0,0.15118,0.05192,49.0,0.84912,0.43871,0.41041,0.15088,1.0,0,0,4,48,554.02256,0.73922,50.99617
576,100,128400.4055,735.03216,0.42626,97,88.19241,0.54036,0.0,0.4083,0.05134,50.0,0.41563,0.21428,0.20135,0.58437,1.0,0,0,1,50,387.91049,0.59946,49.01021
577,100,128879.47882,479.07333,0.47813,99,77.93167,0.77135,0.0,0.10365,0.125,51.0,0.67178,0.34615,0.32563,0.32822,1.0,0,0,5,52,518.99064,1.47057,49.00585
578,100,129321.31889,441.84006,0.5355,96,83.06229,0.74168,0.0,0.18028,0.07803,51.0,0.69294,0.36024,0.3327,0.30706,1.0,0,0,2,49,445.46349,0.84037,49.00537
579,100,129728.53289,407.21401,0.45417,97,91.92981,0.82936,0.0,0.17064,0.0,46.0,0.75104,0.39496,0.35608,0.24896,1.0,0,0,0,48,345.58317,0.0,50.00059
580,100,130125.69989,397.167,0.33965,96,82.81399,0.70959,0.0,0.22261,0.06779,48.0,0.75703,0.39446,0.36257,0.24297,1.0,0,0,0,48,324.27788,0.64632,50.001
581,100,130560.51791,434.81802,0.40822,98,77.49232,0.81985,0.0,0.05515,0.125,51.0,0.70413,0.36605,0.33807,0.29587,1.0,0,0,0,49,373.73474,0.97824,50.00098
582,100,131094.18016,533.66225,0.52142,99,78.18918,0.6589,0.0,0.2161,0.125,48.0,0.58214,0.30294,0.2792,0.41786,1.0,0,0,0,50,362.11168,1.25076,49.0073
583,100,131598.79775,504.6176,0.38691,95,75.11278,0.66027,0.0,0.21473,0.125,49.0,0.59979,0.31047,0.28933,0.40021,1.0,0,0,3,48,441.95514,1.57648,50.99693
584,100,132119.71365,520.9159,0.41053,98,77.616,0.67977,0.0,0.19523,0.125,49.0,0.59159,0.30555,0.28603,0.40841,1.0,0,0,1,50,381.52846,1.25711,50.00292
585,100,132832.76369,713.05005,0.41065,97,81.58872,0.59819,0.0,0.33189,0.06992,50.0,0.43943,0.22906,0.21036,0.56057,1.0,0,0,3,50,504.80543,0.85321,50.00395
586,100,133466.83865,634.07496,0.54338,100,89.9293,0.57395,0.0,0.38232,0.04373,55.0,0.52728,0.27336,0.25391,0.47272,1.0,0,0,7,54,584.24533,0.79565,49.00792
587,100,133909.99487,443.15622,0.37929,99,81.24599,0.75343,0.0,0.14035,0.10623,49.0,0.70555,0.36481,0.34074,0.29445,1.0,0,0,2,50,449.80568,1.2023,50.00169
588,100,134413.89556,503.90069,0.49835,97,78.67251,0.75506,0.0,0.13635,0.10858,51.0,0.6238,0.32414,0.29966,0.3762,1.0,0,0,4,50,413.1385,1.02337,50.99781
589,100,134920.68556,506.79,0.49069,98,77.50235,0.71772,0.0,0.15728,0.125,51.0,0.60314,0.30914,0.29401,0.39686,1.0,0,0,0,51,453.38021,1.41582,47.01349
590,100,135296.02127,375.33571,0.45878,99,91.6349,0.85504,0.0,0.13226,0.01271,54.0,0.80506,0.41074,0.39431,0.19494,1.0,0,0,0,49,370.22632,0.10883,48.00507
591,100,135598.02127,302.0,0.40669,96,78.02592,0.84608,0.0,0.04783,0.10609,48.0,1.0,0.51325,0.48675,0.0,1.0,0,0,0,51,239.28161,0.72665,42.00449
592,100,135961.73054,363.70927,0.49977,95,74.94746,0.74107,0.0,0.13346,0.12547,41.0,0.78955,0.41013,0.37942,0.21045,1.0,0,0,0,43,182.11269,0.68997,50.99275
593,100,136465.4759,503.74536,0.45567,100,78.85051,0.75,0.0,0.125,0.125,50.0,0.62035,0.32258,0.29777,0.37965,1.0,0,0,0,50,330.28521,0.89794,50.99909
594,100,136898.92081,433.44491,0.49433,96,87.87241,0.78453,0.0,0.17425,0.04122,51.0,0.73789,0.38259,0.35529,0.26211,1.0,0,0,6,52,464.86259,0.45433,49.00296
595,100,137323.91279,424.99198,0.36143,98,83.75561,0.70988,0.0,0.22201,0.06811,53.0,0.71021,0.36667,0.34354,0.28979,1.0,0,0,0,48,328.02291,0.61743,50.99906
596,100,137691.05973,367.14694,0.42663,95,76.26445,0.74901,0.0,0.14129,0.1097,43.0,0.80939,0.4199,0.38949,0.19061,1.0,0,0,0,48,307.9067,0.98345,49.99746
597,100,138045.95805,354.89833,0.40501,97,82.7129,0.74434,0.0,0.18245,0.0732,49.0,0.85705,0.44849,0.40857,0.14295,1.0,0,0,0,48,254.099,0.65536,50.99092
598,100,138391.33805,345.38,0.54999,98,77.47804,0.875,0.0,0.0,0.125,50.0,0.9048,0.4705,0.4343,0.0952,1.0,0,0,2,50,340.21369,0.98597,50.99597
599,100,138839.50618,448.16814,0.40006,95,75.09867,0.8516,0.0,0.0234,0.125,49.0,0.65749,0.33841,0.31908,0.34251,1.0,0,0,0,48,330.23805,0.77156,50.00124
600,100,139309.07471,469.56852,0.40152,94,74.77191,0.72332,0.0,0.158,0.11868,47.0,0.62717,0.32477,0.30241,0.37283,1.0,0,0,0,48,361.21527,1.04643,48.00823
601,100,139675.03753,365.96283,0.41224,96,78.05649,0.8547,0.0,0.03581,0.1095,46.0,0.82568,0.43493,0.39075,0.17432,1.0,0,0,0,47,346.81263,0.86319,50.00029
602,100,140158.74953,483.71199,0.54537,97,79.83868,0.7841,0.0,0.1188,0.09709,49.0,0.61848,0.31872,0.29977,0.38152,1.0,0,0,0,48,384.30614,0.72438,50.9993
603,100,140598.78944,440.03992,0.48278,98,77.05974,0.83294,0.0,0.04206,0.125,49.0,0.69577,0.36171,0.33406,0.30423,1.0,0,0,0,49,390.22409,1.02357,50.99722
604,100,141200.23562,601.44618,0.49373,97,82.20882,0.57305,0.0,0.34643,0.08052,48.0,0.49492,0.25217,0.24275,0.50508,1.0,0,0,0,49,404.20327,1.08158,50.00318
605,100,141629.19251,428.95689,0.46758,100,83.13314,0.78188,0.0,0.12603,0.09209,53.0,0.73706,0.38271,0.35435,0.26294,1.0,0,0,1,51,465.86248,1.00137,49.00296
606,100,142178.98759,549.79508,0.52728,96,75.81403,0.58584,0.0,0.28916,0.125,51.0,0.54869,0.28495,0.26373,0.45131,1.0,0,0,0,49,398.13567,1.54821,47.01381
607,100,142515.8979,336.91031,0.42667,98,79.84985,0.79789,0.0,0.09664,0.10547,44.0,0.90578,0.47243,0.43335,0.09422,1.0,0,0,0,48,388.46076,1.14885,48.9992
608,100,142944.215,428.3171,0.48394,99,78.11711,0.875,0.0,0.0,0.125,51.0,0.72726,0.37939,0.34787,0.27274,1.0,0,0,0,50,322.86074,0.83275,48.00752
609,100,143300.06037,355.84537,0.35655,97,76.73736,0.83789,0.0,0.03711,0.125,47.0,0.83791,0.43324,0.40467,0.16209,1.0,0,0,0,47,313.27452,0.94767,50.99829
610,100,143746.73493,446.67456,0.41739,95,75.12278,0.77525,0.0,0.09975,0.125,47.0,0.65969,0.33955,0.32014,0.34031,1.0,0,0,0,48,284.31054,0.78387,50.00248
611,100,144184.33157,437.59664,0.3845,98,77.57657,0.85472,0.0,0.02028,0.125,51.0,0.70384,0.36563,0.33821,0.29616,1.0,0,0,0,50,423.14542,1.04507,48.00773
612,100,144542.14826,357.8167,0.46841,97,76.60614,0.81031,0.0,0.06469,0.125,48.0,0.84727,0.44483,0.40244,0.15273,1.0,0,0,0,47,298.11958,0.95398,50.99643
613,100,145006.28161,464.13335,0.36605,99,80.58822,0.73253,0.0,0.15755,0.10992,49.0,0.66935,0.34832,0.32103,0.33065,1.0,0,0,0,50,357.53605,1.00328,50.00183
614,100,145415.97775,409.69614,0.48065,99,78.0049,0.77281,0.0,0.10219,0.125,49.0,0.74567,0.38443,0.36124,0.25433,1.0,0,0,0,49,342.53243,1.16699,50.9972
615,100,145931.18191,515.20416,0.45169,97,76.3871,0.52413,0.0,0.35087,0.125,50.0,0.57776,0.29438,0.28338,0.42224,1.0,0,0,0,49,350.27531,1.70334,50.00229
616,100,146475.48933,544.30742,0.38615,98,77.60475,0.64832,0.0,0.22668,0.125,50.0,0.5879,0.30314,0.28477,0.4121,1.0,0,0,5,52,481.91472,1.70144,49.00572
617,100,146930.17296,454.68363,0.42476,98,90.68526,0.69697,0.0,0.29348,0.00955,50.0,0.68949,0.35739,0.3321,0.31051,1.0,0,0,3,50,372.12541,0.10579,50.00165
618,100,147331.46535,401.2924,0.45798,97,91.47269,0.71159,0.0,0.28841,0.0,52.0,0.77084,0.39456,0.37628,0.22916,1.0,0,0,3,51,391.30075,0.0,48.00663
619,100,147816.05665,484.59129,0.42573,98,82.9254,0.71819,0.0,0.20204,0.07977,47.0,0.62458,0.3233,0.30128,0.37542,1.0,0,0,0,48,297.92256,0.66226,50.00217
620,100,148288.45393,472.39729,0.34792,97,83.26688,0.83654,0.0,0.09152,0.07194,57.0,0.67916,0.35105,0.32811,0.32084,1.0,0,0,6,52,482.18103,0.64556,49.00499
621,100,148669.78179,381.32786,0.34551,100,78.81225,0.63647,0.0,0.23853,0.125,46.0,0.81776,0.42177,0.39598,0.18224,1.0,0,0,0,51,298.88907,1.45643,47.00692
622,100,149101.69218,431.91039,0.52533,99,78.26221,0.69405,0.0,0.18095,0.125,50.0,0.73202,0.38009,0.35192,0.26798,1.0,0,0,3,50,302.95667,1.18745,49.00299
623,100,149582.262,480.56982,0.46364,98,77.41724,0.76227,0.0,0.11273,0.125,59.0,0.67905,0.35028,0.32878,0.32095,1.0,0,0,6,54,409.52647,1.27256,45.01667
624,100,149949.64537,367.38336,0.46959,96,86.6153,0.8087,0.0,0.15963,0.03167,41.0,0.81749,0.43098,0.38652,0.18251,1.0,0,0,0,46,334.37088,0.27477,49.0021
625,100,150422.42143,472.77606,0.50415,99,80.37277,0.80845,0.0,0.07979,0.11176,51.0,0.655,0.34195,0.31304,0.345,1.0,0,0,0,49,332.22627,0.71461,50.00216
626,100,150778.13037,355.70894,0.43186,96,74.26872,0.75918,0.0,0.1038,0.13703,51.0,0.84807,0.44043,0.40764,0.15193,1.0,0,0,0,49,352.20443,1.41681,48.00112
627,100,151181.18121,403.05085,0.44367,99,83.67439,0.6779,0.0,0.24108,0.08102,46.0,0.78237,0.40524,0.37712,0.21763,1.0,0,0,3,50,316.06221,0.88416,49.99885
628,100,151745.83222,564.65101,0.48755,99,78.24056,0.56491,0.0,0.31009,0.125,50.0,0.53809,0.27598,0.26211,0.46191,1.0,0,0,0,49,302.79637,1.39202,50.99887
629,100,152253.98936,508.15714,0.3723,99,78.04094,0.73352,0.0,0.14148,0.125,54.0,0.65301,0.33618,0.31683,0.34699,1.0,0,0,8,54,486.94627,1.44073,50.00221
630,100,152786.2269,532.23753,0.41749,99,78.16737,0.70698,0.0,0.16802,0.125,50.0,0.5956,0.31001,0.28559,0.4044,1.0,0,0,2,51,445.33778,1.3738,49.00568
631,100,153304.03858,517.81168,0.34848,99,78.19958,0.71506,0.0,0.15994,0.125,49.0,0.59964,0.31382,0.28582,0.40036,1.0,0,0,0,49,443.8128,1.24568,50.0018
632,100,153760.30012,456.26154,0.37634,98,77.53158,0.71674,0.0,0.15826,0.125,53.0,0.68309,0.35433,0.32876,0.31691,1.0,0,0,1,51,404.48376,1.47569,47.00975
633,100,154238.51745,478.21734,0.38031,99,78.30732,0.7068,0.0,0.1682,0.125,47.0,0.64929,0.3398,0.30948,0.35071,1.0,0,0,1,48,345.07969,1.14392,50.99769
634,100,154673.8919,435.37444,0.54365,96,75.81225,0.80171,0.0,0.07329,0.125,48.0,0.69442,0.36367,0.33075,0.30558,1.0,0,0,0,48,444.42048,1.08075,50.99823
635,100,155267.56342,593.67152,0.43739,99,78.37186,0.63655,0.0,0.23845,0.125,50.0,0.52077,0.26811,0.25266,0.47923,1.0,0,0,0,51,346.4067,1.1831,48.01077
636,100,155720.52365,452.96023,0.44177,97,76.61648,0.57767,0.0,0.29775,0.12458,48.0,0.6601,0.34219,0.31791,0.3399,1.0,0,0,0,47,356.22986,1.78553,50.99924
637,100,156204.23263,483.70899,0.38921,96,79.09389,0.71584,0.0,0.19561,0.08855,48.0,0.61986,0.32216,0.2977,0.38014,1.0,0,0,0,48,411.18777,0.96146,50.99837
638,100,156656.38544,452.1528,0.47095,97,83.6058,0.83506,0.0,0.08472,0.08023,50.0,0.70109,0.36492,0.33617,0.29891,1.0,0,0,4,51,480.79227,0.7597,50.00069
639,100,157088.24264,431.8572,0.42043,99,83.69228,0.85228,0.0,0.06576,0.08196,52.0,0.72864,0.37435,0.35428,0.27136,1.0,0,0,2,52,418.61773,0.70346,47.00902
640,100,157618.94644,530.7038,0.33899,100,78.98476,0.66341,0.0,0.21159,0.125,49.0,0.58696,0.3062,0.28076,0.41304,1.0,0,0,0,49,388.68223,1.29926,49.00502
641,100,158248.44102,629.49458,0.40338,98,79.2289,0.70455,0.0,0.18669,0.10876,49.0,0.49458,0.25947,0.23511,0.50542,1.0,0,0,1,49,432.73992,0.95794,50.00332
642,100,158708.68467,460.24365,0.40505,100,79.17509,0.84159,0.0,0.03341,0.125,53.0,0.70615,0.36937,0.33678,0.29385,1.0,0,0,3,52,530.06372,1.26013,49.00382
643,100,159101.88079,393.19611,0.43861,97,76.44603,0.82154,0.0,0.05346,0.125,48.0,0.76976,0.39844,0.37132,0.23024,1.0,0,0,0,49,316.96938,0.96393,48.00553
644,100,159629.94672,528.06593,0.47943,97,76.42121,0.58935,0.0,0.28565,0.125,49.0,0.56653,0.29195,0.27459,0.43347,1.0,0,0,0,48,374.78523,1.52971,49.00479
645,100,160127.40388,497.45716,0.49652,97,76.59391,0.8183,0.0,0.0567,0.125,48.0,0.60809,0.31661,0.29148,0.39191,1.0,0,0,0,48,430.38461,0.98365,50.0024
646,100,160582.64245,455.23858,0.51979,98,77.4262,0.70905,0.0,0.16595,0.125,50.0,0.66888,0.34597,0.32291,0.33112,1.0,0,0,0,49,410.93321,1.4252,50.00195
647,100,161073.56706,490.92461,0.41325,97,77.72446,0.5569,0.0,0.33834,0.1162,47.0,0.61143,0.31403,0.2974,0.38857,1.01145,0,0,0,49,327.66843,1.48854,49.00492
648,100,161698.64237,625.07531,0.44389,98,77.35528,0.65608,0.0,0.20993,0.125,50.0,0.49434,0.25597,0.23837,0.50566,0.99101,0,0,2,49,516.26848,1.61959,50.99906
649,100,162234.61272,535.97035,0.80289,100,78.71206,0.70301,0.0,0.17199,0.125,51.0,0.5986,0.30941,0.2892,0.4014,1.0,0,0,3,52,518.219,1.46811,50.00248
650,100,162687.00689,452.39418,0.38783,98,77.19605,0.77906,0.0,0.09594,0.125,50.0,0.6753,0.34815,0.32715,0.3247,1.0,0,0,0,50,445.57748,1.27249,48.00657
651,100,163123.75116,436.74426,0.4073,98,77.36902,0.8294,0.0,0.0456,0.125,50.0,0.69682,0.36253,0.33429,0.30318,1.0,0,0,0,48,344.74983,0.87312,50.00173
652,100,163501.80727,378.05611,0.42707,99,80.61948,0.76507,0.0,0.13155,0.10339,48.0,0.8191,0.42763,0.39148,0.1809,1.0,0,0,0,49,315.55499,1.01276,50.99765
653,100,163889.49852,387.69125,0.44037,98,92.00273,0.71829,0.0,0.27701,0.0047,49.0,0.78972,0.41055,0.37917,0.21028,1.0,0,0,0,49,305.20275,0.04373,50.99838
654,100,164461.54795,572.04944,0.40353,98,79.92568,0.68267,0.0,0.21888,0.09845,50.0,0.53084,0.27387,0.25697,0.46916,1.0,0,0,0,49,420.91995,0.92916,50.99929
655,100,164839.16187,377.61391,0.42047,100,79.16873,0.84986,0.0,0.02514,0.125,49.0,0.83683,0.43695,0.39988,0.16317,1.0,0,0,0,51,402.99725,1.14026,49.00257
656,100,165407.74627,568.5844,0.43393,98,77.49201,0.77139,0.0,0.10361,0.125,49.0,0.53378,0.277,0.25678,0.46622,1.0,0,0,0,48,386.16521,0.90768,50.9993
657,100,165961.40758,553.66131,0.37932,97,76.56947,0.67347,0.0,0.20153,0.125,50.0,0.55991,0.28899,0.27092,0.44009,1.0,0,0,3,50,419.57522,1.3829,50.99934
658,100,166360.71666,399.30909,0.42987,97,76.59951,0.75772,0.0,0.11728,0.125,49.0,0.76257,0.39443,0.36814,0.23743,1.0,0,0,1,49,409.74088,1.27047,50.99838
659,100,166801.09923,440.38257,0.39538,98,77.47272,0.7749,0.0,0.1001,0.125,52.0,0.71567,0.37278,0.34288,0.28433,1.0,0,0,2,51,377.09695,1.12474,49.00396
660,100,167270.0329,468.93367,0.36677,99,78.408,0.7644,0.0,0.1106,0.125,47.0,0.65859,0.34298,0.31561,0.34141,1.0,0,0,0,49,365.63675,1.14194,50.00134
661,100,167608.07713,338.04423,0.38928,98,76.40283,0.83758,0.0,0.02847,0.13395,49.0,0.88844,0.45359,0.43485,0.11156,1.0,0,0,0,49,328.62497,1.12708,49.99876
662,100,168033.42246,425.34532,0.47504,99,78.18263,0.78698,0.0,0.08802,0.125,51.0,0.72647,0.37616,0.3503,0.27353,1.0,0,0,0,50,311.52069,0.87622,49.00438
663,100,168511.2205,477.79804,0.43696,98,82.8312,0.70168,0.0,0.21717,0.08115,48.0,0.63521,0.32964,0.30557,0.36479,1.0,0,0,0,48,382.60354,0.83756,50.99892
664,100,169027.84343,516.62293,0.44026,99,86.76191,0.78548,0.0,0.15684,0.05768,50.0,0.60295,0.31454,0.28841,0.39705,1.0,0,0,0,50,412.03817,0.49138,50.00166
665,100,169405.81515,377.97172,0.41981,98,83.00662,0.72834,0.0,0.20422,0.06744,48.0,0.81003,0.42111,0.38892,0.18997,1.0,0,0,0,49,323.15654,0.59865,50.00028
666,100,169864.35152,458.53637,0.52094,100,78.87327,0.77341,0.0,0.10159,0.125,53.0,0.71314,0.37074,0.34239,0.28686,1.0,0,0,5,52,366.66597,1.15719,50.99809
667,100,170454.62178,590.27026,0.32205,100,79.11829,0.78305,0.0,0.09195,0.125,51.0,0.53252,0.27671,0.25582,0.46748,1.0,0,0,0,51,457.2519,0.99314,49.00616
668,100,170826.34761,371.72583,0.43062,97,76.47345,0.81528,0.0,0.05972,0.125,47.0,0.81826,0.42818,0.39007,0.18174,1.0,0,0,0,48,361.05638,1.15934,50.00029
669,100,171183.80087,357.45326,0.40161,97,76.64723,0.8104,0.0,0.0646,0.125,49.0,0.85372,0.44528,0.40845,0.14628,1.0,0,0,0,49,305.62655,0.94975,49.00139
670,100,171692.78367,508.9828,0.51254,100,81.33003,0.71262,0.0,0.1949,0.09249,50.0,0.60873,0.31599,0.29274,0.39127,1.0,0,0,0,49,309.58048,0.72456,50.99858
671,100,172188.6324,495.84872,0.44448,100,82.2063,0.65143,0.0,0.24676,0.10181,50.0,0.62217,0.31764,0.30453,0.37783,1.0,0,0,0,51,369.34746,1.11661,49.00406
672,100,172668.57405,479.94166,0.37501,98,77.39416,0.73501,0.0,0.13999,0.125,49.0,0.6341,0.3299,0.3042,0.3659,1.0,0,0,0,48,351.37817,1.07895,50.99911
673,100,173146.67318,478.09912,0.42289,97,76.24857,0.83551,0.0,0.03949,0.125,51.0,0.6728,0.3486,0.3242,0.3272,1.0,0,0,6,52,567.78189,1.37517,50.0014
674,100,173717.44013,570.76696,0.52535,99,84.5918,0.65711,0.0,0.26115,0.08175,52.0,0.54459,0.28178,0.2628,0.45541,1.0,0,0,0,51,387.28218,0.81991,47.01148
675,100,174153.44741,436.00728,0.50142,97,76.77668,0.71311,0.0,0.16189,0.125,46.0,0.68195,0.35168,0.33027,0.31805,1.0,0,0,0,47,407.00061,1.36039,50.00156
676,100,174544.76392,391.31651,0.47053,100,87.78954,0.82064,0.0,0.12307,0.0582,53.0,0.84246,0.43869,0.40377,0.15754,1.00191,0,0,5,53,398.86799,0.57359,49.00211
677,100,175137.00356,592.23964,0.47494,99,79.49811,0.69253,0.0,0.19645,0.10976,51.0,0.52147,0.27157,0.2499,0.47853,0.99874,0,0,0,49,369.26325,0.89036,50.0026
678,100,175657.44853,520.44498,0.50116,95,81.20746,0.71619,0.0,0.19965,0.08416,48.0,0.57419,0.29942,0.27476,0.42581,1.0,0,0,0,48,397.32868,0.80409,49.00409
679,100,176060.24954,402.801,0.41635,99,81.53611,0.76799,0.0,0.13664,0.09537,51.0,0.77292,0.39308,0.37984,0.22708,1.0,0,0,2,52,434.47002,1.05585,46.00908
680,100,176500.86073,440.61119,0.45075,100,79.58912,0.66795,0.0,0.21501,0.11704,49.0,0.69714,0.36124,0.3359,0.30286,1.0,0,0,0,48,325.42286,1.358,49.99973
681,100,176950.75729,449.89657,0.48782,98,77.55502,0.73106,0.0,0.14394,0.125,51.0,0.67534,0.34638,0.32896,0.32466,1.0,0,0,0,50,404.12096,1.22403,48.00672
682,100,177279.73902,328.98173,0.38631,97,76.4573,0.86016,0.0,0.01484,0.125,45.0,0.919,0.48128,0.43771,0.081,1.0,0,0,0,47,331.92045,1.05065,50.99756
683,100,177624.55743,344.81841,0.39137,98,77.18748,0.77571,0.0,0.09929,0.125,52.0,0.88646,0.45435,0.43211,0.11354,1.0,0,0,0,51,261.50484,0.98238,47.00612
684,100,177996.46295,371.90551,0.43082,98,77.19393,0.79008,0.0,0.08492,0.125,49.0,0.81786,0.42798,0.38988,0.18214,1.0,0,0,0,47,273.59209,0.89429,50.99832
685,100,178355.98723,359.52428,0.48611,99,78.32555,0.82937,0.0,0.04563,0.125,46.0,0.85252,0.43808,0.41444,0.14748,1.0,0,0,0,50,342.12876,1.07603,49.99952
686,100,178849.59382,493.60659,0.54323,99,78.23326,0.65831,0.0,0.21669,0.125,52.0,0.6331,0.32921,0.30389,0.3669,1.0,0,0,0,51,307.9397,1.0937,47.00992
687,100,179475.46004,625.86623,0.34651,100,81.41443,0.60049,0.0,0.29879,0.10072,49.0,0.51342,0.26896,0.24446,0.48658,1.0,0,0,3,50,414.46179,1.28113,50.00224
688,100,179964.95288,489.49283,0.37954,100,91.70404,0.80581,0.0,0.16287,0.03132,59.0,0.69221,0.35922,0.333,0.30779,1.0,0,0,7,56,517.96974,0.35106,45.0144
689,100,180455.10402,490.15114,0.39722,99,84.46008,0.78079,0.0,0.14225,0.09154,45.0,0.6311,0.33323,0.29787,0.3689,1.01458,0,0,0,47,341.64106,0.64896,49.99981
