episode_counter,sim_step,sim_time,dt,dt_real_time,valid_actions,total_reward,machines_working,machines_changeover,machines_broken,machines_idle,processed_orders,transp_working,transp_walking,transp_handling,transp_idle,machines_total,selected_idle,forced_idle,threshold_waiting,finished_orders,order_waiting_time,alpha,inventory
33,100,3033.49589,52.00008,0.44299,6,5.45195,0.75,0.0,0.25,0.0,2.0,0.38461,0.19231,0.19231,0.61538,1.0,0,16,0,4,466.67772,0.0,55.02658
34,100,3112.33491,78.83902,0.33476,12,11.07375,0.80257,0.0,0.19743,0.0,7.0,0.48199,0.25368,0.22831,0.518,1.0,0,15,0,6,414.04664,0.0,55.02653
35,100,3201.00165,88.66674,0.3779,22,20.7445,0.9043,0.0,0.0957,0.0,14.0,0.79699,0.41353,0.38346,0.20301,1.0,0,9,0,12,507.99391,0.0,53.04501
36,100,3276.83505,75.83341,0.45115,18,17.05914,0.875,0.0,0.125,0.0,5.0,0.76264,0.40659,0.35604,0.23736,1.0,0,9,1,8,437.85832,0.0,55.98234
37,100,3365.00179,88.16674,0.45589,21,18.79887,0.84318,0.0,0.15682,0.0,11.0,0.75047,0.38752,0.36295,0.24953,1.0,0,11,1,11,545.05133,0.0,54.99459
38,100,3465.4622,100.46041,0.52263,23,20.50214,0.88853,0.0,0.11147,0.0,15.0,0.78472,0.40646,0.37826,0.21528,1.0,0,10,3,13,711.1404,0.0,54.03893
39,100,3532.79561,67.33341,0.38665,15,13.93587,0.875,0.0,0.125,0.0,6.0,0.67327,0.34653,0.32673,0.32673,1.0,0,11,0,7,401.14879,0.0,54.99189
40,100,3605.96235,73.16674,0.37516,14,12.1447,0.93953,0.0,0.06047,0.0,10.0,0.64465,0.3303,0.31435,0.35535,1.0,0,13,2,8,665.78253,0.0,54.02974
41,100,3682.46242,76.50007,0.40295,16,15.16368,0.97057,0.0,0.02943,0.0,7.0,0.68627,0.35948,0.3268,0.31373,1.0,0,12,1,8,574.2639,0.0,55.00776
42,100,3777.12916,94.66673,0.43551,25,23.53752,0.85533,0.0,0.14467,0.0,11.0,0.83099,0.44014,0.39084,0.16901,1.0,0,8,0,12,381.97745,0.0,55.98273
43,100,3844.2959,67.16674,0.3973,12,10.89235,0.7953,0.0,0.2047,0.0,9.0,0.55335,0.28536,0.26799,0.44665,1.0,0,15,0,6,413.38484,0.0,55.99449
44,100,3977.12929,132.83339,0.44701,40,37.86392,1.0,0.0,0.0,0.0,24.0,0.95483,0.49561,0.45922,0.04517,1.0,0,3,0,21,365.50748,0.0,54.01549
45,100,4077.96269,100.8334,0.32692,29,27.41897,0.93052,0.0,0.06948,0.0,13.0,0.90083,0.45455,0.44628,0.09917,1.0,0,5,0,16,385.14756,0.0,51.04505
46,100,4200.29608,122.33339,0.50906,35,32.24846,0.80506,0.0,0.18517,0.00977,17.0,0.90191,0.47684,0.42507,0.09809,1.0,0,6,0,17,335.35412,0.09915,52.00505
47,100,4283.76301,83.46693,0.43385,19,17.70786,0.75,0.0,0.25,0.0,4.0,0.70287,0.37939,0.32348,0.29713,1.0,0,11,0,8,218.63124,0.0,54.99594
48,100,4362.59642,78.8334,0.44476,19,17.55213,0.60706,0.0,0.39294,0.0,10.0,0.7463,0.39112,0.35518,0.2537,1.0,0,10,0,9,279.46398,0.0,55.99242
49,100,4434.92982,72.33341,0.44545,14,12.83739,0.495,0.0,0.505,0.0,7.0,0.6129,0.32258,0.29032,0.3871,1.0,0,14,0,7,402.65109,0.0,55.99056
50,100,4498.26323,63.33341,0.37569,11,9.76133,0.50754,0.0,0.49246,0.0,6.0,0.55789,0.28947,0.26842,0.4421,1.0,0,14,0,6,530.11506,0.0,55.01167
51,100,4564.42997,66.16674,0.40623,12,10.70847,0.54849,0.0,0.45151,0.0,7.0,0.5466,0.28967,0.25693,0.4534,1.0,0,15,0,5,402.3482,0.0,56.99333
52,100,4633.43005,69.00007,0.3879,13,11.76837,0.52717,0.0,0.47283,0.0,9.0,0.62319,0.28985,0.33333,0.37681,1.0,0,13,0,10,384.11818,0.0,50.06864
53,100,4734.43011,101.00006,0.47701,29,27.05334,0.63902,0.0,0.36098,0.0,16.0,0.86139,0.44554,0.41584,0.13861,1.0,0,7,0,13,498.99595,0.0,52.99022
54,100,4835.09684,100.66673,0.44282,28,26.38071,0.73272,0.0,0.26728,0.0,10.0,0.88079,0.46358,0.41722,0.11921,1.0,0,6,0,14,324.1226,0.0,52.99338
55,100,4905.39272,70.29588,0.42891,13,12.32049,0.98124,0.0,0.01876,0.0,8.0,0.57851,0.30822,0.27029,0.42149,1.0,0,14,0,6,396.90823,0.0,54.01075
56,100,5009.55946,104.16673,0.32131,30,28.25434,1.0,0.0,0.0,0.0,19.0,0.904,0.472,0.432,0.096,1.0,0,5,0,15,463.83352,0.0,53.99026
57,100,5172.39284,162.83338,0.40825,50,45.91103,0.97679,0.0,0.0,0.02321,25.0,0.97543,0.49642,0.47902,0.02456,1.0,0,2,0,28,330.54517,0.18475,48.05547
58,100,5297.05956,124.66672,0.49508,37,33.44257,0.932,0.0,0.03267,0.03533,18.0,0.91979,0.49465,0.42513,0.08021,1.0,0,5,0,16,258.14523,0.16868,52.96353
59,100,5412.39295,115.33339,0.35818,33,30.08335,0.78002,0.0,0.19416,0.02582,16.0,0.87861,0.46243,0.41618,0.12139,1.0,0,7,0,15,356.93608,0.24485,55.95511
60,100,5490.72636,78.33341,0.41177,17,15.8124,0.85077,0.0,0.14923,0.0,5.0,0.71915,0.3617,0.35745,0.28085,1.0,0,11,0,11,325.85461,0.0,51.00732
